Queries,Type
"""Completed payment, but no confirmation email. What actions should I take?""",confirm
"""Completed payment, but no confirmation received. Need guidance on next steps.""",confirm
"""Completed payment, but no confirmation received. What actions should I take?""",confirm
"""Completed payment, but no confirmation received. What actions should I take?""",confirm
"""Completed payment, but no confirmation received. What should I do next?""",confirm
"""Completed payment, but no confirmation received. What should I do now?""",confirm
"""Completed payment, but no confirmation. How can I resolve this?""",confirm
"""Could you provide an update on my delivery status?""",delivery
"""Did my order get delayed? Can you provide an update on its status?""",delay
"""Do you accept American Express?""",payments
"""Do you accept corporate credit cards?""",payments
"""Do you accept Discover credit cards?""",payments
"""Do you accept international credit cards?""",payments
"""Do you accept Mastercard for payments?""",payments
"""Do you accept mobile payment apps?""",payments
"""Do you accept money orders?""",payments
"""Do you accept payment through cryptocurrency wallets like Coinbase or BitPay?""",payments
"""Do you accept payment through digital wallets like Skrill or Neteller?""",payments
"""Do you accept payment through digital wallets like WeChat Pay or AliPay?""",payments
"""Do you accept payment through mobile wallets like M-Pesa or Paytm?""",payments
"""Do you accept payment through payment gateways like Stripe or PayPal?""",payments
"""Do you accept payment through peer-to-peer payment platforms like PayPal or Zelle?""",payments
"""Do you accept payment through third-party financing providers?""",payments
"""Do you accept payments via QR codes?""",payments
"""Do you accept personal checks for payment?""",payments
"""Do you have a payment installment plan?""",payments
"""Do you have a tracking service for orders?""",track
"""Do you offer a customer service chatbot for order tracking assistance?""",track
"""Do you offer a mobile-friendly tracking interface?""",track
"""Do you offer cash-on-delivery payment?""",payments
"""Do you offer financing options?""",payments
"""Do you offer payment on delivery?""",payments
"""Do you offer payment plans for high-value purchases?""",payments
"""Do you offer payment plans for large purchases?""",payments
"""Do you offer payment through automatic bank drafts?""",payments
"""Do you offer payment through bank transfers?""",payments
"""Do you offer payment through mobile wallets like Apple Pay or Google Pay?""",payments
"""Do you offer real-time customer support for order tracking inquiries?""",track
"""Do you only accept cash?""",payments
"""Do you provide a direct link to track my order on your website?""",track
"""Do you provide a receipt for payment?""",payments
"""Do you provide a tracking service for customers?""",track
"""Do you provide order tracking services for international customs clearance?""",track
"""Do you provide order tracking services for international destinations?""",track
"""Do you provide order tracking services for international shipments?""",track
"""Do you provide real-time updates on the delivery status of my order?""",track
"""Do you support installment plans with zero interest?""",payments
"""Has my order been delayed? If so, what caused the delay?""",delay
"""Has my order encountered any logistical issues that have caused the delay?""",delay
"""Has my order encountered any unforeseen challenges that have resulted in the delay?""",delay
"""Has there been a delay in the delivery of my order? If so, why?""",delay
"""Has there been any unforeseen circumstances that have led to the delay in delivering my order?""",delay
"""How can I get updates on the location of my order?""",track
"""How can I make a payment?""",payments
"""How can I monitor the status of my order?""",track
"""How can I track multiple orders from the same account?""",track
"""How do I access the tracking information for my order?""",track
"""How do I find the tracking information for my order?""",track
"""How do I know if my order is out for delivery?""",track
"""How frequently is the tracking information updated?""",track
"""How long does it usually take for delivery?""",delivery
"""How long does it usually take for orders to be delivered?""",track
"""How long does it usually take for the tracking information to be available?""",track
"""How long does shipping typically take?""",track
"""I completed the payment process, but there's no confirmation of my order. What steps can I take?""",confirm
"""I completed the payment, but my order hasn't been confirmed. What should be my next course of action?""",confirm
"""I expected my order to arrive by now. Why is there a delay?""",delay
"""I expected to receive my order by now. Can you clarify the reason for the delay?""",delay
"""I have been waiting for my order for an extended period. What is causing the delay?""",delay
"""I haven't received any updates on my delayed order. Can you provide more information?""",delay
"""I made a payment, but I haven't received an order confirmation. What should I do?""",confirm
"""I noticed that the payment was deducted, but I didn't receive any confirmation for my order. What actions should I take?""",confirm
"""I paid for my order, but I haven't received any confirmation. What should I do to resolve this?""",confirm
"""I received a successful payment notification, but there's no order confirmation. How can I proceed?""",confirm
"""I want to know the estimated arrival time of my order. How can I find that?""",track
"""I would appreciate an explanation for the delay in delivering my order.""",delay
"""I would appreciate an update on the progress in delivering my delayed order.""",delay
"""I would like to check the whereabouts of my order.""",track
"""I would like to know the cause of the delay in delivering my order.""",delay
"""I would like to understand the cause of the delay in delivering my order.""",delay
"""I would like to understand the cause of the delay in shipping my order.""",delay
"""I'd like to inquire about the tracking process for my order.""",track
"""I'm concerned about the delay in receiving my order. Can you explain?""",delay
"""I'm concerned about the excessive delay in delivering my order. Can you provide an update?""",delay
"""I'm concerned about the extended delay in delivering my order. Can you provide an update?""",delay
"""I'm concerned about the prolonged delay in receiving my order. Can you assist?""",delay
"""I'm disappointed with the delay in receiving my order. Can you explain the reason behind it?""",delay
"""I'm eager to know the whereabouts of my order. Can you help?""",delivery
"""I'm frustrated with the delay in receiving my order. How can this be resolved?""",delay
"""I'm interested in knowing the status of my order. How can I do that?""",track
"""I've been charged for my order, but I haven't received any confirmation. What should I do to get it confirmed?""",confirm
"""Is Apple Pay supported?""",payments
"""Is cash payment an option?""",payments
"""Is cryptocurrency accepted for payment?""",payments
"""Is online payment available?""",payments
"""Is the tracking information available via email?""",track
"""Is the tracking information updated in real-time?""",track
"""Is there a backlog or any other issues causing delays in order fulfillment?""",delay
"""Is there a convenience fee for certain payment methods?""",payments
"""Is there a customer portal or account where I can track my order?""",track
"""Is there a customer portal where I can view the order history and tracking information?""",track
"""Is there a customer support contact I can reach out to regarding my delayed order?""",delay
"""Is there a customer support email address for order tracking inquiries?""",track
"""Is there a customer support hotline I can contact to inquire about my order's status?""",track
"""Is there a customer support phone number for order tracking assistance?""",track
"""Is there a grace period for credit card payments?""",payments
"""Is there a live chat support option to assist with tracking my order?""",track
"""Is there a maximum limit for credit card transactions?""",payments
"""Is there a minimum purchase amount for credit card payments?""",payments
"""Is there a mobile notification system for order tracking updates?""",track
"""Is there a preferred payment method for faster processing?""",payments
"""Is there a preferred payment method for international transactions?""",payments
"""Is there a secure online payment gateway?""",payments
"""Is there a self-service tracking system on your website?""",track
"""Is there a specific order tracking page on your website?""",track
"""Is there a specific reason for the delay in shipping my order?""",delay
"""Is there a specific reason why my order has not been delivered yet?""",delay
"""Is there a specific reason why my order is taking longer than expected?""",delay
"""Is there a specific time frame in which I should expect my order to be delivered?""",track
"""Is there a specific time window for order tracking updates to be available?""",track
"""Is there a specific webpage where I can input my order details to track its status?""",track
"""Is there a specific website or platform I should use to track my order?""",track
"""Is there a specific website or platform where I can track international orders?""",track
"""Is there a surcharge for using credit cards for payment?""",payments
"""Is there a tracking link or page where I can monitor my order?""",track
"""Is there a tracking number available for my order?""",track
"""Is there a tracking widget or plugin I can integrate into my website for order tracking?""",track
"""Is there a way for me to track the progress of my order?""",track
"""Is there a way to expedite the delivery of my delayed order?""",delay
"""Is there a way to track my order without logging into my account?""",track
"""Is there an alternative method to track my order if I don't have a tracking number?""",track
"""Is there an option for automatic billing?""",payments
"""Is there an option for deferred billing?""",payments
"""Is there an option for deferred interest financing?""",payments
"""Is there an option for deferred payment?""",payments
"""Is there an option for payment via direct debit?""",payments
"""Made payment, but no order confirmation received. Next steps?""",confirm
"""Made payment, but no order confirmation. Can you help with this?""",confirm
"""Made payment, but no order confirmation. Need help resolving this matter.""",confirm
"""Made payment, but no order confirmation. Need support to resolve this issue.""",confirm
"""Money deducted, but no order confirmation. How can I get it resolved?""",confirm
"""Money deducted, but no order confirmation. Need assistance to resolve this.""",confirm
"""Money deducted, but no order confirmation. Need guidance on resolving this.""",confirm
"""Money deducted, but no order confirmation. What should I do now?""",confirm
"""No confirmation after payment. What are the next steps to take?""",confirm
"""No confirmation after payment. What should I do to confirm my order?""",confirm
"""No confirmation after payment. What should I do to confirm my order?""",confirm
"""No confirmation after payment. What should I do to receive confirmation?""",confirm
"""No confirmation after payment. What steps can I take to get confirmation?""",confirm
"""No confirmation after payment. What steps can I take to receive confirmation?""",confirm
"""Paid for order, but no confirmation email. Can you assist with this issue?""",confirm
"""Paid for order, but no confirmation email. Can you help me with this matter?""",confirm
"""Paid for order, but no confirmation email. What should I do to get confirmation?""",confirm
"""Paid for order, but no confirmation received. How to proceed?""",confirm
"""Paid for order, but no confirmation. Any suggestions to get it confirmed?""",confirm
"""Paid for order, but no confirmation. Any suggestions to receive confirmation?""",confirm
"""Paid for order, but no confirmation. How can I get the confirmation email?""",confirm
"""Paid for order, but no confirmation. How do I get it confirmed?""",confirm
"""Paid for order, but no confirmation. How do I get it confirmed?""",confirm
"""Paid for order, but no confirmation. Need assistance to resolve this issue.""",confirm
"""Payment deducted, but no order confirmation. Any suggestions?""",confirm
"""Payment deducted, but no order confirmation. How do I proceed from here?""",confirm
"""Payment deducted, but no order confirmation. How do I proceed now?""",confirm
"""Payment deducted, but no order confirmation. Need assistance to resolve this.""",confirm
"""Payment processed successfully, but no confirmation email. Help needed.""",confirm
"""Payment processed successfully, but no confirmation email. Help required.""",confirm
"""Payment processed successfully, but no confirmation email. What to do?""",confirm
"""Payment processed successfully, but no confirmation received. Help needed.""",confirm
"""Payment processed, but no confirmation email. How can I get confirmation?""",confirm
"""Payment processed, but no confirmation. How can I ensure order confirmation?""",confirm
"""Payment processed, but no confirmation. How can I get the order confirmed?""",confirm
"""Payment was processed successfully, but I didn't receive any confirmation for my order. What steps should I take?""",confirm
"""Payment went through, but no confirmation email. What's the next course of action?""",confirm
"""Payment went through, but no confirmation. How can I get the confirmation?""",confirm
"""Payment went through, but no confirmation. How can I get the confirmation?""",confirm
"""Payment went through, but no confirmation. How can I resolve this issue?""",confirm
"""Refunded"" status, but refund not received. Requesting resolution.",refund_status
"""The payment went through, but I didn't receive an order confirmation. How can I get it sorted out?""",confirm
"""What actions are being taken to address the delay in delivering my order?""",delay
"""What actions are being taken to expedite the delivery of my order that has been delayed?""",delay
"""What are the available payment methods?""",payments
"""What are the steps for making an online payment?""",payments
"""What assortment of merchandise is there?""",items
"""What can be done to ensure timely delivery and avoid future delays in order fulfillment?""",delay
"""What can I add to my shopping cart?""",items
"""What can I expect to find in your assortment of merchandise?""",items
"""What can I expect to find in your product assortment?""",items
"""What can I expect to find in your store's merchandise assortment?""",items
"""What can I expect to find in your store's merchandise selection?""",items
"""What can I find and add to my shopping cart?""",items
"""What courier or shipping company is responsible for delivering my order?""",track
"""What details do I need to provide to track my order?""",track
"""What do you have available for customers to purchase?""",items
"""What do you have available in your store?""",items
"""What do you have in stock for customers to purchase?""",items
"""What do you have in store for customers?""",items
"""What do you have on sale?""",items
"""What do you keep in stock for customers?""",items
"""What do you keep in your inventory for customers?""",items
"""What do you offer in terms of product selection?""",items
"""What do you offer in terms of products?""",items
"""What do you stock in your inventory?""",items
"""What information do I need to track my order?""",track
"""What is causing the delay in delivering my order to its destination?""",delay
"""What is causing the delay in delivering my order?""",track
"""What is causing the delay in delivering my order?""",delay
"""What is causing the delay in my order's delivery?""",delivery
"""What is causing the delay in processing my order?""",delay
"""What is causing the prolonged delivery time for my order?""",delivery
"""What is in store for customers to buy?""",items
"""What is in store for customers to purchase?""",items
"""What is included in your assortment of goods?""",items
"""What is included in your product lineup?""",items
"""What is listed as available for customers to buy and add to cart?""",items
"""What is listed as available for customers to buy?""",items
"""What is on your list of available items for sale?""",items
"""What is on your list of available items?""",items
"""What is part of your available product lineup?""",items
"""What is part of your product lineup and offerings?""",items
"""What is part of your product lineup?""",items
"""What is the approximate delivery date for my order?""",track
"""What is the average shipping time?""",delivery
"""What is the current location of my order? Has it been shipped?""",track
"""What is the current status of my delivery?""",track
"""What is the estimated delivery time?""",track
"""What is the estimated shipping date for my order?""",track
"""What is the estimated time of arrival for my order?""",track
"""What is the estimated time of arrival for my order?""",delivery
"""What is the expected delivery date for my order?""",track
"""What is the expected delivery timeframe for my order?""",track
"""What is the procedure for checking the status of my order?""",track
"""What is the process to track my order if I placed it over the phone?""",track
"""What is the process to track my order?""",track
"""What is the range of products in your collection?""",items
"""What is the reason for the delay in my order?""",delay
"""What is the typical delivery time for orders?""",track
"""What is the usual delivery time frame for my location?""",track
"""What is the usual delivery timeframe for expedited shipping orders?""",track
"""What is the usual delivery timeframe for standard shipping orders?""",track
"""What is your preferred payment method?""",payments
"""What items are available to add to my cart?""",items
"""What items are available to add to my shopping list?""",items
"""What items are currently being sold?""",items
"""What items are currently in stock?""",items
"""What items are on offer for customers to buy?""",items
"""What items are part of your product range?""",items
"""What items are ready and waiting for purchase?""",items
"""What items are ready for purchase?""",items
"""What items can I explore and consider purchasing?""",items
"""What items can I explore and potentially purchase?""",items
"""What items do you carry for customers to buy?""",items
"""What items do you carry in your store?""",items
"""What kind of goods can I find at your store?""",items
"""What kind of items can I expect to find?""",items
"""What kind of merchandise can I shop for at your establishment?""",items
"""What kind of merchandise can I shop for?""",items
"""What kind of products are featured in your inventory?""",items
"""What kind of products are featured in your stock?""",items
"""What kind of products are in your stock?""",items
"""What kind of products are included in your store's selection?""",items
"""What kind of products can I expect to see?""",items
"""What measures are being taken to address the delay in delivering my order?""",delay
"""What measures are being taken to prevent future delays in order fulfillment?""",delay
"""What options do I have to track my order?""",track
"""What products can I browse and buy?""",items
"""What should I do if my order tracking shows that it's been delivered, but I haven't received it?""",track
"""What should I do if my payment was deducted, but I haven't received an order confirmation?""",confirm
"""What should I do if the tracking information is not updating or accurate?""",track
"""What should I do if the tracking information is showing an error or is unavailable?""",track
"""What should I do if the tracking information shows that my order is being held at a customs facility?""",track
"""What should I do if the tracking information shows that my order is stuck in transit?""",track
"""What should I do if the tracking information shows that my order was delivered to the wrong address?""",track
"""What should I do if the tracking information shows that my order was returned to the sender?""",track
"""What specific goods are offered for purchase?""",items
"""What specific goods are part of your product range?""",items
"""What specific goods can I find in your collection?""",items
"""What specific items are available for purchase?""",items
"""What specific items can I add to my shopping list?""",items
"""What specific items can I consider buying?""",items
"""What specific items can I find in your collection?""",items
"""What specific merchandise do you offer?""",items
"""What specific things are available for purchase?""",items
"""What steps are being taken to expedite the delivery of my delayed order?""",delay
"""What steps are being taken to expedite the delivery of my order that has been delayed?""",delay
"""What steps are being taken to resolve the delay in delivering my order?""",delay
"""What steps can I take if my tracking information shows that my order is lost or delayed?""",track
"""What steps should I follow to track my order?""",track
"""What types of goods are featured in your stock and inventory?""",items
"""What types of goods are featured in your store?""",items
"""What types of goods are included in your inventory?""",items
"""What types of goods can I find in your store?""",items
"""What types of merchandise are featured in your store?""",items
"""What types of merchandise can I expect to find at your shop?""",items
"""What types of merchandise can I explore and shop for?""",items
"""What types of merchandise can I find at your shop?""",items
"""What types of products do you sell?""",items
"""What variety of items are in your inventory?""",items
"""When can I anticipate receiving my delivery?""",track
"""When can I anticipate the delivery of my order?""",delivery
"""When can I expect my delayed order to be shipped and delivered?""",delay
"""When can I expect my order to be delivered? I need it soon.""",track
"""When can I expect my order to be delivered? I need it soon.""",track
"""When can I expect my order to be delivered? I need it soon.""",track
"""When can I expect my order to be delivered? I need it soon.""",delivery
"""When can I expect my order to be delivered? I need it soon.""",delivery
"""When can I expect my order to be delivered? It's been a while since I placed it.""",track
"""When can I expect my order to be delivered? It's been delayed for an extended period.""",delay
"""When can I expect my order to be delivered? It's been delayed for too long.""",track
"""When can I expect my order to be delivered? It's been delayed for too long.""",track
"""When can I expect my order to be delivered? It's been delayed for too long.""",delivery
"""When can I expect my order to be delivered? It's been delayed for too long.""",delivery
"""When can I expect my order to be delivered? It's been delayed for too long.""",delivery
"""When can I expect my order to be delivered? It's been significantly delayed.""",delay
"""When can I expect to receive my delivery?""",track
"""When can I expect to receive my delivery?""",delay
"""When can I expect to receive my order?""",delivery
"""When do you anticipate my order to be delivered?""",delivery
"""When is my order scheduled to arrive at my address?""",track
"""When should I anticipate the arrival of my order?""",track
"""When should I expect my order to arrive? It's been a while.""",delivery
"""When should I expect my order to be delivered?""",track
"""When will my delayed order be dispatched for delivery?""",delay
"""When will my order be delivered? It's been longer than the estimated time.""",delay
"""When will my order be delivered?""",track
"""When will my order be dispatched for delivery?""",track
"""When will my order be dispatched for delivery?""",track
"""When will my order be dispatched for delivery?""",track
"""When will my order be dispatched for delivery?""",delivery
"""When will my order be dispatched for delivery?""",delivery
"""When will my order be dispatched for delivery?""",delivery
"""When will my order be dispatched for delivery?""",delivery
"""When will my order be shipped and delivered to my address?""",track
"""When will my order be shipped out for delivery?""",track
"""When will my order be shipped out for delivery?""",track
"""When will my order be shipped out for delivery?""",track
"""When will my order be shipped out for delivery?""",delivery
"""When will my order be shipped out for delivery?""",delivery
"""When will my order be shipped out for delivery?""",delivery
"""When will my order finally be delivered? It's been delayed multiple times.""",track
"""When will my order finally be delivered? It's been delayed multiple times.""",track
"""When will my order finally be delivered? It's been delayed multiple times.""",track
"""When will my order finally be delivered? It's been delayed multiple times.""",delivery
"""When will my order finally be delivered? It's been delayed multiple times.""",delivery
"""When will my order finally be delivered? It's been delayed multiple times.""",delivery
"""Where can I check the status of my delivery?""",delivery
"""Where can I find the tracking details for my order?""",track
"""Where can I input my order details to track its status?""",track
"""Where is my order currently in the delivery process? Can you track it?""",track
"""Where is my order currently in the delivery process? Can you track it?""",track
"""Where is my order currently in the delivery process? Can you track it?""",track
"""Where is my order currently in the delivery process? Can you track it?""",delivery
"""Where is my order currently in the delivery process? Can you track it?""",delivery
"""Where is my order currently in the delivery process? Can you track it?""",delivery
"""Where is my order currently located in the delivery process?""",track
"""Where is my order currently? I haven't received any information about it.""",delivery
"""Where is my order? Can you provide an update?""",track
"""Where is my order? Can you track its location?""",delivery
"""Where is my order? I haven't received any updates on its status.""",track
"""Where is my order? I haven't received any updates on its status.""",track
"""Where is my order? I haven't received any updates on its status.""",track
"""Where is my order? I haven't received any updates on its status.""",delivery
"""Where is my order? I haven't received any updates on its status.""",delivery
"""Where is my order? I haven't received any updates on its status.""",delivery
"""Where is my order? I haven't received it yet.""",track
"""Where is my order? It's been quite some time since I placed it.""",track
"""Where is my order? It's been quite some time since I placed it.""",track
"""Where is my order? It's been quite some time since I placed it.""",track
"""Where is my order? It's been quite some time since I placed it.""",delivery
"""Where is my order? It's been quite some time since I placed it.""",delivery
"""Where is my package currently in the delivery route?""",track
"""Where is my package currently in the delivery route?""",track
"""Where is my package currently in the delivery route?""",track
"""Where is my package currently in the delivery route?""",delivery
"""Where is my package currently in the delivery route?""",delivery
"""Where is my package currently in the delivery route?""",delivery
"""Where is my package? It has not been delivered yet.""",track
"""Where is my package? It hasn't been delivered yet.""",track
"""Where is my package? The tracking information hasn't been updated.""",track
"""Where is my package? The tracking information hasn't been updated.""",track
"""Where is my package? The tracking information hasn't been updated.""",track
"""Where is my package? The tracking information hasn't been updated.""",delivery
"""Where is my package? The tracking information hasn't been updated.""",delivery
"""Where is my package? The tracking information hasn't been updated.""",delivery
"""Which items are currently on offer?""",items
"""Which items are included in your product selection?""",items
"""Which items are included in your range of products?""",items
"""Which items are listed for sale currently?""",items
"""Which items are listed for sale?""",items
"""Which payment methods do you accept?""",payments
"""Which products are currently offered for sale?""",items
"""Which products are included in your current selection?""",items
"""Which products can I explore and consider buying?""",items
"""Which products can I explore and purchase?""",items
"""Which products do you have available for purchase?""",items
"""Which specific items are part of your product range?""",items
"""Why has my delivery not arrived as scheduled?""",track
"""Why has my delivery not arrived on the expected delivery date?""",track
"""Why has my delivery not arrived on the expected delivery date?""",track
"""Why has my delivery not arrived on the expected delivery date?""",track
"""Why has my delivery not arrived on the expected delivery date?""",delivery
"""Why has my delivery not arrived on the expected delivery date?""",delivery
"""Why has my delivery not arrived on the expected delivery date?""",delivery
"""Why has my delivery not arrived within the specified timeframe?""",track
"""Why has my order been delayed? Can you provide more information?""",delay
"""Why has my order not been delivered within the expected timeframe?""",delivery
"""Why has my order not been delivered within the promised timeframe? Is there an issue?""",delay
"""Why has my order not been delivered within the specified timeframe? Is there a problem?""",delay
"""Why has my order not been delivered yet? It's been longer than expected.""",track
"""Why has my order not been delivered yet?""",track
"""Why has my order not been delivered yet?""",delay
"""Why has my order not been shipped yet? Is there an issue with the inventory?""",delay
"""Why has my order not been shipped yet? It's been pending for a while.""",track
"""Why has my order not been shipped yet? It's been pending for a while.""",track
"""Why has my order not been shipped yet? It's been pending for a while.""",track
"""Why has my order's delivery been delayed? Is there a specific reason?""",track
"""Why has my order's delivery been delayed? Is there a specific reason?""",track
"""Why has my order's delivery been delayed? Is there a specific reason?""",track
"""Why has my order's delivery been delayed? Is there a specific reason?""",delivery
"""Why has my order's delivery been delayed? Is there a specific reason?""",delivery
"""Why has there been a delay in delivering my order? Are there any issues?""",track
"""Why has there been a delay in delivering my order? Is there a specific reason?""",track
"""Why has there been a delay in delivering my order? Is there any specific reason?""",track
